Date,Open,High,Low,Close,Adj Close,Volume
2019-06-27,767.250000,774.750000,754.150024,765.700012,755.848083,2342429
2019-06-28,770.000000,790.000000,751.049988,754.750000,745.039001,3642873
2019-07-01,758.000000,774.000000,758.000000,772.150024,762.215149,1233570
2019-07-02,773.000000,776.000000,754.650024,761.000000,751.208618,981115
2019-07-03,764.000000,764.750000,746.950012,752.700012,743.015381,1312925
2019-07-04,754.700012,759.750000,748.150024,754.349976,744.644165,1594101
2019-07-05,754.500000,762.500000,733.299988,735.700012,726.234131,764023
2019-07-08,725.000000,740.650024,725.000000,734.099976,724.654663,964123
2019-07-09,732.900024,753.950012,730.299988,751.049988,741.386597,985434
2019-07-10,755.250000,762.000000,748.000000,760.150024,750.369507,1594455
2019-07-11,765.000000,769.299988,747.400024,753.650024,743.953186,1589107
2019-07-12,757.000000,764.700012,752.000000,761.750000,751.948975,1166462
2019-07-15,765.000000,767.950012,750.500000,765.000000,755.157104,861865
2019-07-16,763.950012,782.000000,760.599976,779.549988,769.519897,1130950
2019-07-17,779.950012,782.650024,768.000000,771.950012,762.017700,783581
2019-07-18,772.400024,775.000000,752.700012,756.150024,746.421021,687673
2019-07-19,758.000000,763.000000,742.150024,747.349976,737.734192,796473
2019-07-22,743.549988,765.599976,741.299988,756.500000,746.766479,781442
2019-07-23,760.000000,765.900024,751.200012,756.450012,746.717102,1286784
2019-07-24,756.450012,757.799988,733.549988,738.099976,728.603210,970269
2019-07-25,741.799988,777.700012,736.549988,773.049988,763.103577,2578623
2019-07-26,770.000000,780.000000,761.000000,777.299988,767.298889,1097292
2019-07-29,772.000000,775.549988,753.000000,762.250000,757.313965,1032123
2019-07-30,763.099976,795.000000,748.049988,752.599976,747.726440,3265104
2019-07-31,753.900024,772.450012,751.000000,764.799988,759.847412,1314423
2019-08-01,764.000000,773.000000,746.650024,759.049988,754.134644,1016301
2019-08-02,756.549988,775.700012,749.099976,767.299988,762.331238,1160643
2019-08-05,760.400024,771.150024,741.099976,756.700012,751.799927,1237328
2019-08-06,756.000000,771.000000,742.500000,750.849976,745.987732,1258835
2019-08-07,750.599976,786.400024,748.049988,781.900024,776.836731,3018916
2019-08-08,785.799988,791.400024,750.400024,760.950012,756.022400,3240635
2019-08-09,769.599976,771.900024,755.049988,758.700012,753.786926,1615690
2019-08-13,758.000000,762.000000,746.000000,748.250000,743.404602,1188441
2019-08-14,747.000000,749.799988,722.049988,734.299988,729.544922,1745944
2019-08-16,734.000000,734.599976,722.250000,729.299988,724.577332,1076059
2019-08-19,729.299988,749.400024,727.500000,732.000000,727.259827,1153038
2019-08-20,736.549988,742.250000,728.250000,736.150024,731.382996,923789
2019-08-21,739.000000,741.500000,730.849976,735.200012,730.439148,935198
2019-08-22,735.299988,746.000000,730.549988,737.349976,732.575195,1029795
2019-08-23,736.000000,745.000000,711.549988,738.650024,733.866821,1197914
2019-08-26,745.000000,757.799988,735.000000,747.200012,742.361450,1501240
2019-08-27,750.950012,755.900024,735.849976,738.849976,734.065430,1040863
2019-08-28,742.000000,751.299988,725.250000,732.099976,727.359192,823769
2019-08-29,739.000000,740.450012,728.549988,735.049988,730.290100,775980
2019-08-30,735.900024,744.549988,720.049988,741.000000,736.201538,1509463
2019-09-03,735.000000,746.000000,730.250000,735.500000,730.737183,893057
2019-09-04,738.000000,744.799988,728.299988,741.950012,737.145447,1105451
2019-09-05,745.849976,769.900024,741.000000,765.349976,760.393860,2637041
2019-09-06,769.200012,774.650024,757.000000,773.000000,767.994324,1349319
2019-09-09,772.000000,778.650024,764.500000,766.700012,761.735168,929898
2019-09-11,767.000000,769.000000,756.000000,759.549988,754.631409,1101660
2019-09-12,762.799988,767.900024,754.750000,759.049988,754.134644,880238
2019-09-13,762.400024,766.000000,753.599976,764.099976,759.151978,519219
2019-09-16,764.099976,780.000000,760.700012,769.150024,764.169312,1522424
2019-09-17,770.000000,773.000000,754.599976,757.849976,752.942444,1174682
2019-09-18,761.000000,762.000000,753.000000,759.099976,754.184326,468504
2019-09-19,760.250000,762.750000,733.750000,741.250000,736.449951,2245346
2019-09-20,747.700012,758.849976,734.150024,756.299988,751.402466,2689710
2019-09-23,762.000000,765.299988,723.400024,732.049988,727.309509,2252984
2019-09-24,735.000000,746.400024,731.049988,739.250000,734.462891,1203386
2019-09-25,738.900024,740.000000,727.299988,731.400024,726.663757,610227
2019-09-26,733.000000,735.900024,725.450012,729.250000,724.527649,959289
2019-09-27,726.099976,734.200012,714.650024,717.250000,712.605347,1283523
2019-09-30,720.000000,720.000000,702.049988,715.700012,711.065430,1487570
2019-10-01,716.000000,726.250000,700.500000,703.099976,698.546936,1161131
2019-10-03,693.000000,707.000000,676.849976,701.200012,696.659302,2504322
2019-10-04,702.000000,708.500000,684.099976,686.500000,682.054504,1105641
2019-10-07,689.049988,690.849976,646.299988,667.599976,663.276855,2576192
2019-10-09,664.900024,685.000000,660.000000,682.099976,677.682922,1500671
2019-10-10,680.000000,698.799988,676.849976,690.950012,686.475647,1507716
2019-10-11,692.650024,704.000000,683.000000,701.650024,697.106384,1131255
2019-10-14,704.000000,720.400024,697.299988,716.400024,711.760864,1302216
2019-10-15,718.000000,726.900024,711.500000,721.150024,716.480103,1438966
2019-10-16,723.000000,735.000000,716.799988,732.849976,728.104309,1140985
2019-10-17,731.500000,732.000000,719.000000,726.500000,721.795471,744122
2019-10-18,726.500000,746.150024,722.849976,739.099976,734.313843,1813831
2019-10-22,738.900024,748.349976,733.950012,745.849976,741.020142,712225
2019-10-23,749.500000,749.500000,730.700012,736.150024,731.382996,1362052
2019-10-24,736.500000,741.700012,723.650024,730.250000,725.521179,1003393
2019-10-25,730.299988,737.150024,725.000000,734.099976,729.346191,971238
2019-10-27,null,null,null,null,null,null
2019-10-29,733.500000,740.900024,728.000000,734.150024,729.395935,1708254
